id,first_name,last_name,position,equipo
2096,Russ,Smith,C,Memphis Grizzlies
2097,Patric,Young,G,New Orleans Pelicans
2098,Will,Cherry,F,Cleveland Cavaliers
2099,Bruno,Caboclo,F,Houston Rockets
2100,Kalin,Lucas,C,Memphis Grizzlies
2101,Erick,Green,G,Denver Nuggets
2102,Adreian,Payne,G,Minnesota Timberwolves
2103,Drew,Gordon,G,Philadelphia 76ers
2104,Markel,Brown,G,Brooklyn Nets
2105,CJ,Wilcox,G,LA Clippers
2106,Eric,Moreland,F,Detroit Pistons
2107,Grant,Jerrett,,Oklahoma City Thunder
2108,Ronald,Roberts Jr.,G,Philadelphia 76ers
2109,Damien,Inglis,G,Milwaukee Bucks
2110,Johnny,O'Bryant III,G,Milwaukee Bucks
2111,Mitch,McGary,G,Oklahoma City Thunder
2112,Furkan,Aldemir,F,Philadelphia 76ers
2113,Patrick,Christopher,F,Utah Jazz
2114,Elijah,Millsap,C,Utah Jazz
2115,Larry,Drew II,,Philadelphia 76ers
2116,James,Michael McAdoo,F,Golden State Warriors
2117,David,Stockton,G,Los Angeles Lakers
2118,Joffrey,Lauvergne,G,Denver Nuggets
2119,Jack,Cooley,,Utah Jazz
2120,Bryce,Cotton,G,Utah Jazz
2121,Jerrelle,Benimon,G,Utah Jazz
2122,Jarell,Eddie,G,Washington Wizards
2123,Jabari,Brown,F,Los Angeles Lakers
2124,Sean,Kilpatrick,F,Brooklyn Nets
2125,David,Wear,F,Sacramento Kings
2126,Sim,Bhullar,,Sacramento Kings
2127,Darrun,Hilliard,F,Detroit Pistons
2128,Lamar,Patterson,G,Atlanta Hawks
2129,Sasha,Kaun,G,Cleveland Cavaliers
2130,Tibor,Pleiss,C,Utah Jazz
2131,Rashad,Vaughn,G,Milwaukee Bucks
2132,Aaron,Harrison,G,Charlotte Hornets
2133,Joe,Young,F,Indiana Pacers
2134,Luis,Montero,C,Portland Trail Blazers
2135,Marcelo,Huertas,F,Los Angeles Lakers
2136,Anthony,Brown,F,Los Angeles Lakers
2137,Jordan,Mickey,G,Boston Celtics
2138,Edy,Tavares,F,Atlanta Hawks
2139,RJ,Hunter,F,Boston Celtics
2140,Duje,Dukan,,Sacramento Kings
2141,Cliff,Alexander,,Portland Trail Blazers
2142,Josh,Huestis,G,Oklahoma City Thunder
2143,Branden,Dawson,,LA Clippers
2144,Rakeem,Christmas,G,Indiana Pacers
2145,JJ,O'Brien,G,Utah Jazz
2146,Keith,Appling,F,Orlando Magic
2147,Bryce,Dejean-Jones,G,New Orleans Pelicans
2148,Thanasis,Antetokounmpo,F,Milwaukee Bucks
2149,Chris,McCullough,F,Brooklyn Nets
2150,Alex,Stepheson,G,LA Clippers
2151,Axel,Toupane,F,Denver Nuggets
2152,Briante,Weber,G,Houston Rockets
2153,Coty,Clarke,,Boston Celtics
2154,Xavier,Munford,,Memphis Grizzlies
2155,John,Holland,G,Cleveland Cavaliers
2156,Mindaugas,Kuzminskas,F,New York Knicks
2157,Nicolas,Laprovittola,G,San Antonio Spurs
2158,Patrick,McCaw,C,Toronto Raptors
2159,Joel,Bolomboy,G,Utah Jazz
2160,Isaiah,Whitehead,G,Brooklyn Nets
2161,Kyle,Wiltjer,F,Houston Rockets
2162,Deyonta,Davis,G,Memphis Grizzlies
2163,Michael,Gbinije,G,Detroit Pistons
2164,Semaj,Christon,F,Oklahoma City Thunder
2165,Nicolas,Brussino,G,Dallas Mavericks
2166,Paul,Zipser,F,Chicago Bulls
2167,Diamond,Stone,F,LA Clippers
2168,Daniel,Ochefu,G,Washington Wizards
2169,Sheldon,Mac,G,Washington Wizards
2170,Malcolm,Delaney,G,Atlanta Hawks
2171,AJ,Hammons,G,Dallas Mavericks
2172,Kay,Felder,G,Cleveland Cavaliers
2173,Stephen,Zimmerman,F,Los Angeles Lakers
2174,Maurice,Ndour,F,New York Knicks
2175,Danuel,House Jr.,F,Philadelphia 76ers
2176,Georgios,Papagiannis,C,Sacramento Kings
2177,Tim,Quarterman,,Portland Trail Blazers
2178,Jonathan,Gibson,G,Dallas Mavericks
2179,Marshall,Plumlee,C,New York Knicks
2180,Chinanu,Onuaku,G,Houston Rockets
2181,Pierre,Jackson,G,Dallas Mavericks
2182,Okaro,White,F,Washington Wizards
2183,Mike,Tobey,F,Charlotte Hornets
2184,Marcus,Georges-Hunt,F,Minnesota Timberwolves
2185,Brice,Johnson,,LA Clippers
2186,Ben,Bentil,F,Dallas Mavericks
2187,Shawn,Long,G,Philadelphia 76ers
2188,Jarrod,Uthoff,,Dallas Mavericks
2189,Gary,Payton II,G,Golden State Warriors
2190,Isaiah,Taylor,,Atlanta Hawks
2191,Patricio,Garino,C,Orlando Magic
2192,Charles,Cooke,,New Orleans Pelicans
2193,Jalen,Jones,,Cleveland Cavaliers
2194,Josh,Magette,F,Atlanta Hawks
2195,Alec,Peters,,Phoenix Suns
2196,Mike,James,,Phoenix Suns
2197,Matt,Williams Jr.,,Miami Heat
2198,Brandon,Paul,G,San Antonio Spurs
2199,Dakari,Johnson,,Oklahoma City Thunder
2200,Mike,Young,,Washington Wizards
2201,Gian,Clavell,,Dallas Mavericks
2202,Kobi,Simmons,,Memphis Grizzlies
2203,Mangok,Mathiang,,Charlotte Hornets
2204,Marcus,Paige,F,Charlotte Hornets
2205,Jawun,Evans,G,LA Clippers
2206,Matt,Costello,F,San Antonio Spurs
2207,Jacob,Wiley,F,Brooklyn Nets
2208,Derrick,Walton Jr.,,Detroit Pistons
2209,Vincent,Hunter,F,Memphis Grizzlies
2210,Jamil,Wilson,G,LA Clippers
2211,Antonius,Cleveland,,Dallas Mavericks
2212,Jacob,Pullen,,Philadelphia 76ers
2213,London,Perrantes,,Cleveland Cavaliers
2214,Yakuba,Ouattara,,Brooklyn Nets
2215,Malcolm,Miller,F,Toronto Raptors
2216,Kadeem,Allen,,New York Knicks
2217,Jamel,Artis,,Orlando Magic
2218,Kyle,Collinsworth,C,Dallas Mavericks
2219,Milton,Doyle,F,Brooklyn Nets
2220,Reggie,Hearn,,Detroit Pistons
2221,Nigel,Hayes,F,Phoenix Suns
2222,Myke,Henry,,Memphis Grizzlies
2223,Ben,Moore,,Indiana Pacers
2224,James,Webb III,G,Brooklyn Nets
2225,Josh,Gray,,Phoenix Suns
2226,Erik,McCree,,Utah Jazz
2227,Andrew,White III,,Atlanta Hawks
2228,Trey,McKinney-Jones,,Indiana Pacers
2229,Walter,Lemon Jr.,,Chicago Bulls
2230,Xavier,Rathan-Mayes,,Memphis Grizzlies
2231,Rodney,Purvis,,Orlando Magic
2232,Jameel,Warney,G,Dallas Mavericks
2233,Omari,Johnson,F,Memphis Grizzlies
2234,Andre,Ingram,,Los Angeles Lakers
2235,Aaron,Jackson,,Houston Rockets
2236,Brian,Taylor,,LA Clippers
2237,Freeman,Williams,,LA Clippers
2238,Jerome,Whitehead,,Golden State Warriors
2239,Joe,Bryant,,Philadelphia 76ers
2240,Nick,Weatherspoon,,Washington Wizards
2241,Sidney,Wicks,,Portland Trail Blazers
2242,Swen,Nater,,LA Clippers
2243,World,Free,,Cleveland Cavaliers
2244,Don,Ford,,Los Angeles Lakers
2245,Jamaal,Wilkes,,Los Angeles Lakers
2246,Jim,Chones,,Cleveland Cavaliers
2247,Kareem,Abdul-Jabbar,,Los Angeles Lakers
2248,Michael,Cooper,,Los Angeles Lakers
2249,Norm,Nixon,,Los Angeles Lakers
2250,Ron,Boone,,Sacramento Kings
2251,Spencer,Haywood,,Oklahoma City Thunder
2252,Cedric,Maxwell,,Boston Celtics
2253,Chris,Ford,,Detroit Pistons
2254,Dave,Cowens,,Boston Celtics
2255,Don,Chaney,,Boston Celtics
2256,Eric,Fernsten,,Boston Celtics
2257,Jeff,Judkins,,Boston Celtics
2258,M.L.,Carr,,Boston Celtics
2259,Nate,Archibald,,Sacramento Kings
2260,Rick,Robey,,Boston Celtics
2261,Calvin,Murphy,,Houston Rockets
2262,Dwight,Jones,,Chicago Bulls
2263,Major,Jones,,Houston Rockets
2264,Mike,Dunleavy,,Houston Rockets
2265,Rick,Barry,,Golden State Warriors
2266,Rudy,Tomjanovich,,Houston Rockets
2267,Rudy,White,,Houston Rockets
2268,Tom,Henderson,,Houston Rockets
2269,Bob,Dandridge,,Milwaukee Bucks
2270,Elvin,Hayes,,Washington Wizards
2271,Greg,Ballard,,Washington Wizards
2272,Kevin,Grevey,,Washington Wizards
2273,Kevin,Porter,,Washington Wizards
2274,Larry,Wright,,Washington Wizards
2275,Roger,Phegley,,San Antonio Spurs
2276,Wes,Unseld,,Washington Wizards
2277,Bobby,Jones,,Philadelphia 76ers
2278,Caldwell,Jones,,Philadelphia 76ers
2279,Darryl,Dawkins,,Philadelphia 76ers
2280,Doug,Collins,,Philadelphia 76ers
2281,Eric,Money,,Detroit Pistons
2282,Henry,Bibby,,Philadelphia 76ers
2283,Julius,Erving,,Philadelphia 76ers
2284,Steve,Mix,,Philadelphia 76ers
2285,Armond,Hill,,Atlanta Hawks
2286,Charlie,Criss,,Atlanta Hawks
2287,Dan,Roundfield,,Atlanta Hawks
2288,Eddie,Johnson,,Atlanta Hawks
2289,Jack,Givens,,Atlanta Hawks
2290,John,Drew,,Atlanta Hawks
2291,Ron,Lee,,Phoenix Suns
2292,Steve,Hawes,,Atlanta Hawks
2293,Terry,Furlow,,Cleveland Cavaliers
2294,Tom,McMillen,,Atlanta Hawks
2295,Geoff,Huston,,Cleveland Cavaliers
2296,Hollis,Copeland,,New York Knicks
2297,Jim,Cleamons,,Cleveland Cavaliers
2298,Joe,Meriweather,,Sacramento Kings
2299,Larry,Demic,,New York Knicks
2300,Micheal,Ray Richardson,,New York Knicks
2301,Mike,Glenn,,Atlanta Hawks
2302,Ray,Williams,,New York Knicks
2303,Sly,Williams,,New York Knicks
2304,Toby,Knight,,New York Knicks
2305,Abdul,Jeelani,,Portland Trail Blazers
2306,Jim,Brewer,,Cleveland Cavaliers
2307,Jim,Paxson,,Portland Trail Blazers
2308,Kermit,Washington,,Los Angeles Lakers
2309,Kevin,Kunnert,,Houston Rockets
2310,Larry,Steele,,Portland Trail Blazers
2311,Lionel,Hollins,,Portland Trail Blazers
2312,Ron,Brewer,,Portland Trail Blazers
2313,Tom,Owens,,Portland Trail Blazers
2314,Allan,Bristow,,San Antonio Spurs
2315,Ben,Poquette,,Utah Jazz
2316,Don,Williams,,Utah Jazz
2317,Greg,Deane,,Utah Jazz
2318,James,Hardy,,Utah Jazz
2319,John,Gianelli,,New York Knicks
2320,Paul,Dawkins,,Utah Jazz
2321,Pete,Maravich,,Utah Jazz
2322,Robert,Smith,,Denver Nuggets
2323,Bob,Lanier,,Detroit Pistons
2324,Bob,McAdoo,,LA Clippers
2325,Greg,Kelser,,Oklahoma City Thunder
2326,Jim,McElroy,,Utah Jazz
2327,John,Shumate,,LA Clippers
2328,Leon,Douglas,,Detroit Pistons
2329,Phil,Hubbard,,Cleveland Cavaliers
2330,Roylee,Hamilton,,Detroit Pistons
2331,Terry,Duerod,,Detroit Pistons
2332,Terry,Tyler,,Detroit Pistons
2333,Billy,Knight,,Indiana Pacers
2334,Clemon,Johnson,,Indiana Pacers
2335,Dudley,Bradley,,Indiana Pacers
2336,Johnny,Davis,,Indiana Pacers
2337,Mickey,Johnson,,Chicago Bulls
2338,Mike,Bantom,,Indiana Pacers
2339,Tony,Zeno,,Indiana Pacers
2340,Calvin,Natt,,Portland Trail Blazers
2341,Eddie,Jordan,,Brooklyn Nets
2342,George,Johnson,,Golden State Warriors
2343,Jan,Van Breda Kolff,,Brooklyn Nets
2344,John,Williamson,,Brooklyn Nets
2345,Ralph,Simpson,,Detroit Pistons
2346,Rich,Kelley,,Utah Jazz
2347,Bill,Willoughby,,Houston Rockets
2348,Bingo,Smith,,Cleveland Cavaliers
2349,Campy,Russell,,Cleveland Cavaliers
2350,Dave,Robisch,,Denver Nuggets
2351,Earl,Tatum,,Los Angeles Lakers
2352,John,Lambert,,Cleveland Cavaliers
2353,Kenny,Carr,,Portland Trail Blazers
2354,Mike,Mitchell,,San Antonio Spurs
2355,Randy,Smith,,LA Clippers
2356,Willie,Smith,,Cleveland Cavaliers
2357,Alvan,Adams,,Phoenix Suns
2358,Alvin,Scott,,Phoenix Suns
2359,Don,Buse,,Phoenix Suns
2360,Garfield,Heard,,Phoenix Suns
2361,Jeff,Cook,,Phoenix Suns
2362,Joel,Kramer,,Phoenix Suns
2363,Johnny,High,,Phoenix Suns
2364,Mike,Bratz,,Phoenix Suns
2365,Paul,Westphal,,Phoenix Suns
2366,Truck,Robinson,,Phoenix Suns
2367,Clifford,Ray,,Golden State Warriors
2368,John,Coughran,,Golden State Warriors
2369,John,Lucas,,Houston Rockets
2370,Jojo,White,,Boston Celtics
2371,Purvis,Short,,Golden State Warriors
2372,Raymond,Townsend,,Golden State Warriors
2373,Sonny,Parker,,Golden State Warriors
2374,Thomas,Wilson,,Golden State Warriors
2375,Tom,Abernethy,,Golden State Warriors
2376,Bill,Robinzine,,Sacramento Kings
2377,Billy,McKinney,,Denver Nuggets
2378,Ernie,Grunfeld,,New York Knicks
2379,Marlon,Redmond,,Sacramento Kings
2380,Mike,Green,,San Antonio Spurs
2381,Otis,Birdsong,,Brooklyn Nets
2382,Phil,Ford,,Sacramento Kings
2383,Reggie,King,,Sacramento Kings
2384,Sam,Lacey,,Sacramento Kings
2385,Scott,Wedman,,Sacramento Kings
2386,Brian,Winters,,Milwaukee Bucks
2387,Dave,Meyers,,Milwaukee Bucks
2388,Harvey,Catchings,,Milwaukee Bucks
2389,Junior,Bridgeman,,Milwaukee Bucks
2390,Kent,Benson,,Detroit Pistons
2391,Lloyd,Walton,,Milwaukee Bucks
2392,Marques,Johnson,,Milwaukee Bucks
2393,Quinn,Buckner,,Milwaukee Bucks
2394,Richard,Washington,,Sacramento Kings
2395,Alonzo,Bradley,,Houston Rockets
2396,Anthony,Roberts,,Denver Nuggets
2397,Bo,Ellis,,Denver Nuggets
2398,Bob,Wilkerson,,Denver Nuggets
2399,Charlie,Scott,,Phoenix Suns
2400,Dan,Issel,,Denver Nuggets
2401,David,Thompson,,Denver Nuggets
2402,Gary,Garland,,Denver Nuggets
2403,George,McGinnis,,Philadelphia 76ers
2404,John,Roche,,Denver Nuggets
2405,Kim,Hughes,,Denver Nuggets
2406,Austin,Carr,,Cleveland Cavaliers
2407,Walt,Frazier,,New York Knicks
2408,Billy,Paultz,,San Antonio Spurs
2409,George,Gervin,,San Antonio Spurs
2410,Irv,Kiffin,,San Antonio Spurs
2411,James,Silas,,San Antonio Spurs
2412,Kevin,Restani,,Milwaukee Bucks
2413,Larry,Kenon,,San Antonio Spurs
2414,Mark,Olberding,,San Antonio Spurs
2415,Mike,Evans,,Denver Nuggets
2416,Mike,Gale,,San Antonio Spurs
2417,Paul,Griffin,,San Antonio Spurs
2418,Gus,Bailey,,Houston Rockets
2419,Phil,Chenier,,Washington Wizards
2420,Artis,Gilmore,,Chicago Bulls
2421,Coby,Dietrick,,San Antonio Spurs
2422,Del,Beshore,,Chicago Bulls
2423,Mark,Landsberger,,Los Angeles Lakers
2424,Ollie,Johnson,,Sacramento Kings
2425,Ricky,Sobers,,Chicago Bulls
2426,Scott,May,,Chicago Bulls
2427,Corky,Calhoun,,Phoenix Suns
2428,Stan,Pietkiewicz,,LA Clippers
2429,Dennis,Johnson,,Boston Celtics
2430,Fred,Brown,,Oklahoma City Thunder
2431,Gus,Williams,,Oklahoma City Thunder
2432,James,Bailey,,Oklahoma City Thunder
2433,John,Johnson,,Oklahoma City Thunder
2434,Lonnie,Shelton,,Oklahoma City Thunder
2435,Paul,Silas,,Atlanta Hawks
2436,Tom,LaGarde,,Dallas Mavericks
2437,Roger,Brown,,Detroit Pistons
2438,Sammy,Smith,,Chicago Bulls
2439,Tom,Boswell,,Boston Celtics
2440,Wally,Walker,,Oklahoma City Thunder
2441,Mike,Newlin,,Houston Rockets
2442,Tim,Bassett,,Brooklyn Nets
2443,Winford,Boynes,,Brooklyn Nets
2444,Bernard,Toone,,Philadelphia 76ers
2445,Jim,Spanarkel,,Dallas Mavericks
2446,Gus,Gerard,,Sacramento Kings
2447,Brad,Holland,,Los Angeles Lakers
2448,Bob,Carrington,,Brooklyn Nets
2449,Dennis,Awtrey,,Phoenix Suns
2450,Joey,Hassett,,Oklahoma City Thunder
2451,Foots,Walker,,Cleveland Cavaliers
2452,Dave,Twardzik,,Portland Trail Blazers
2453,Wiley,Peck,,San Antonio Spurs
2454,John,Kuester,,Sacramento Kings
2455,George,Johnson,,Indiana Pacers
2456,Allen,Leavell,,Houston Rockets
2457,Clint,Richardson,,Philadelphia 76ers
2458,Maurice,Lucas,,Portland Trail Blazers
2459,Marty,Byrnes,,Indiana Pacers
2460,Ollie,Mack,,Dallas Mavericks
2461,Bob,Elliott,,Brooklyn Nets
2462,Earl,Evans,,Detroit Pistons
2463,John,Mengelt,,Detroit Pistons
2464,Bob,Gross,,Portland Trail Blazers
2465,Steve,Malovic,,LA Clippers
2466,Andre,Wakefield,,Detroit Pistons
2467,John,Brown,,Atlanta Hawks
2468,Terry,Crosby,,Sacramento Kings
2469,Ron,Carter,,Los Angeles Lakers
2470,John,Olive,,LA Clippers
2471,Tom,Burleson,,Oklahoma City Thunder
2472,Mitch,Kupchak,,Washington Wizards
2473,Mack,Calvin,,Denver Nuggets
2474,Len,Elmore,,Brooklyn Nets
2475,Glen,Gondrezick,,Denver Nuggets
2476,Sam,Pellom,,Atlanta Hawks
2477,Earl,Monroe,,New York Knicks
2478,Darnell,Hillman,,Indiana Pacers
2479,Phil,Smith,,Golden State Warriors
2480,Sylvester,Norris,,San Antonio Spurs
2481,Rick,Wilson,,Atlanta Hawks
2482,Jackie,Robinson,,Oklahoma City Thunder
2483,Al,Skinner,,Brooklyn Nets
2484,Bill,Walton,,Portland Trail Blazers
2485,Butch,Lee,,Atlanta Hawks
2486,Marvin,Barnes,,LA Clippers
2487,Phil,Jackson,,New York Knicks
2488,Billyray,Bates,,Portland Trail Blazers
2489,Marvin,Webster,,New York Knicks
2490,Harry,Davis,,Cleveland Cavaliers
2491,Arvid,Kramer,,Denver Nuggets
2492,Lawrence,Boston,,Washington Wizards
2493,Lynbert,Johnson,,Golden State Warriors
2494,Ron,Behagen,,Sacramento Kings
2495,Carl,Kilpatrick,,Utah Jazz
2496,Carl,Nicks,,Utah Jazz
2497,Cedrick,Hordges,,Denver Nuggets
2498,Kenny,Higgs,,Denver Nuggets
2499,Johnny,Moore,,San Antonio Spurs
2500,Reggie,Johnson,,San Antonio Spurs
2501,Kyle,Macy,,Phoenix Suns
2502,Mike,Niles,,Phoenix Suns
2503,Billy,Reid,,Golden State Warriors
2504,Lorenzo,Romar,,Golden State Warriors
2505,Rickey,Brown,,Golden State Warriors
2506,Alan,Hardy,,Detroit Pistons
2507,Darwin,Cook,,Brooklyn Nets
2508,Mike,O'Koren,,Brooklyn Nets
2509,Jerry,Sichting,,Indiana Pacers
2510,Louis,Orr,,New York Knicks
2511,Mike,Harper,,Portland Trail Blazers
2512,Michael,Brooks,,LA Clippers
2513,Calvin,Garrett,,Houston Rockets
2514,Keith,Herron,,Detroit Pistons
2515,Tony,Fuller,,Detroit Pistons
2516,Wayne,Robinson,,Detroit Pistons
2517,Wes,Matthews,,Atlanta Hawks
2518,Charles,Whitney,,Sacramento Kings
2519,Brett,Vroman,,Utah Jazz
2520,John,Duren,,Utah Jazz
2521,Craig,Shelton,,Atlanta Hawks
2522,Don,Collins,,Washington Wizards
2523,James,Wilkes,,Chicago Bulls
2524,Sam,Worthen,,Chicago Bulls
2525,Chad,Kinch,,Cleveland Cavaliers
2526,Walter,Jordan,,Cleveland Cavaliers
2527,Lowes,Moore,,Brooklyn Nets
2528,Darrell,Allums,,Dallas Mavericks
2529,Ralph,Drollinger,,Dallas Mavericks
2530,Reggie,Carter,,New York Knicks
2531,Butch,Carter,,Indiana Pacers
2532,Lee,Johnson,,Houston Rockets
2533,Kelvin,Ransey,,Brooklyn Nets
2534,Bill,Hanzlik,,Denver Nuggets
2535,Dewayne,Scales,,New York Knicks
2536,Art,Collins,,Atlanta Hawks
2537,Kenny,Natt,,Utah Jazz
2538,Wally,Rank,,LA Clippers
2539,Monti,Davis,,Dallas Mavericks
2540,Carlos,Terry,,Washington Wizards
2541,Jamesearl,Ray,,Denver Nuggets
2542,Ronnie,Lester,,Chicago Bulls
2543,Tony,Price,,LA Clippers
2544,Wayne,Kreklow,,Boston Celtics
2545,Andrew,Toney,,Philadelphia 76ers
2546,Scott,Lloyd,,Dallas Mavericks
2547,Ron,Davis,,LA Clippers
2548,Tony,Jackson,,Los Angeles Lakers
2549,Dick,Miller,,Indiana Pacers
2550,Myles,Patrick,,Los Angeles Lakers
2551,Edgar,Jones,,San Antonio Spurs
2552,Michael,Wiley,,LA Clippers
2553,Ron,Valentine,,Denver Nuggets
2554,Jeff,Wilkins,,Utah Jazz
2555,John,Stroud,,Houston Rockets
2556,Norman,Black,,Detroit Pistons
2557,David,Britton,,Washington Wizards
2558,Keith,McCord,,Washington Wizards
2559,Andre,McCarter,,Sacramento Kings
2560,Lewis,Brown,,Washington Wizards
2561,Mel,Bennett,,Indiana Pacers
2562,Frankie,Sanders,,Boston Celtics
2563,Jacky,Dorsey,,Oklahoma City Thunder
2564,Ed,Lawrence,,Detroit Pistons
2565,Jeffrey,Crompton,,Milwaukee Bucks
2566,Clarence,Kea,,Dallas Mavericks
2567,Bill,Mayfield,,Golden State Warriors
2568,Peter,Verhoeven,,Portland Trail Blazers
2569,Franklin,Edwards,,Philadelphia 76ers
2570,Mickey,Dillard,,Cleveland Cavaliers
2571,Roger,Burkman,,Chicago Bulls
2572,Joe,Cooper,,LA Clippers
2573,Ray,Tolbert,,Oklahoma City Thunder
2574,Charles,Bradley,,Boston Celtics
2575,Tracy,Jackson,,Chicago Bulls
2576,Charlie,Davis,,Washington Wizards
2577,Garry,Witts,,Washington Wizards
2578,Kevin,Loder,,Sacramento Kings
2579,Gene,Banks,,San Antonio Spurs
2580,Bobby,Cattage,,Utah Jazz
2581,Howard,Wood,,Utah Jazz
2582,Elston,Turner,,Denver Nuggets
2583,Jay,Vincent,,Dallas Mavericks
2584,Kevin,McKenna,,Brooklyn Nets
2585,Hank,McDowell,,LA Clippers
2586,Samuel,Williams,,Golden State Warriors
2587,Danny,Vranes,,Oklahoma City Thunder
2588,Ed,Rains,,San Antonio Spurs
2589,Rudy,Macklin,,Atlanta Hawks
2590,Jim,Smith,,LA Clippers
2591,John,Douglas,,LA Clippers
2592,Jeff,Lamp,,Portland Trail Blazers
2593,Alex,Bradley,,New York Knicks
2594,Ray,Blume,,Chicago Bulls
2595,Mike,McGee,,Los Angeles Lakers
2596,Craig,Dykema,,Phoenix Suns
2597,John,McCullough,,Phoenix Suns
2598,David,Burns,,Denver Nuggets
2599,Kurt,Nimphius,,Dallas Mavericks
2600,Lewis,Lloyd,,Houston Rockets
2601,Jim,Brogan,,LA Clippers
2602,Glenn,Hagan,,Detroit Pistons
2603,Petur,Gudmundsson,,San Antonio Spurs
2604,Mark,Radford,,Oklahoma City Thunder
2605,Al,Wood,,Oklahoma City Thunder
2606,Kevin,Stacom,,Boston Celtics
2607,Steve,Hayes,,Cleveland Cavaliers
2608,Kenny,Dennard,,Sacramento Kings
2609,Rich,Yonakor,,San Antonio Spurs
2610,Larry,Spriggs,,Los Angeles Lakers
2611,Brad,Branson,,Indiana Pacers
2612,Clay,Johnson,,Los Angeles Lakers
2613,Carl,Bailey,,Portland Trail Blazers
2614,Rock,Lee,,LA Clippers
2615,Edmund,Sherod,,New York Knicks
2616,Eddie,Phillips,,Brooklyn Nets
2617,Richard,Anderson,,Portland Trail Blazers
2618,David,Thirdkill,,Boston Celtics
2619,Rory,White,,LA Clippers
2620,Jerry,Eaves,,Utah Jazz
2621,Brook,Steppe,,Sacramento Kings
2622,Audie,Norris,,Portland Trail Blazers
2623,Bruce,Flowers,,Cleveland Cavaliers
2624,Dave,Magley,,Cleveland Cavaliers
2625,Darren,Tillis,,Golden State Warriors
2626,Jeff,Taylor,,Houston Rockets
2627,Chris,Engler,,Golden State Warriors
2628,Clark,Kellogg,,Indiana Pacers
2629,Bryan,Warrick,,Washington Wizards
2630,Rob,Williams,,Denver Nuggets
2631,Bill,Garnett,,Dallas Mavericks
2632,Vince,Taylor,,New York Knicks
2633,Marc,Iavaroni,,Utah Jazz
2634,Mitchell,Anderson,,Utah Jazz
2635,Russ,Schoene,,Oklahoma City Thunder
2636,Dave,Batton,,Washington Wizards
2637,Rickey,Williams,,Utah Jazz
2638,Walker,Russell,,Detroit Pistons
2639,Jim,Zoet,,Detroit Pistons
2640,Keith,Edmonson,,San Antonio Spurs
2641,Steve,Lingenfelter,,Washington Wizards
2642,Guy,Morgan,,Indiana Pacers
2643,Jose,Slaughter,,Indiana Pacers
2644,Linton,Townes,,Portland Trail Blazers
2645,Jim,Johnstone,,Detroit Pistons
2646,Oliver,Robinson,,San Antonio Spurs
2647,Willie,Jones,,LA Clippers
2648,Corny,Thompson,,Dallas Mavericks
2649,Dwight,Anderson,,Denver Nuggets
2650,John,Cox,,Washington Wizards
2651,Charlie,Pittman,,Phoenix Suns
2652,John,Greig,,Oklahoma City Thunder
2653,Joe,Kopicki,,Washington Wizards
2654,Michael,Davis,,New York Knicks
2655,Moses,Malone,,San Antonio Spurs
2656,Howard,Carter,,Denver Nuggets
2657,Bruce,Kuczenski,,Brooklyn Nets
2658,John,Pinone,,Atlanta Hawks
2659,Darren,Daye,,Washington Wizards
2660,Mike,Wilson,,Brooklyn Nets
2661,Scooter,McCray,,Oklahoma City Thunder
2662,Pace,Mannion,,Utah Jazz
2663,Paul,Thompson,,Cleveland Cavaliers
2664,Granville,Waiters,,Indiana Pacers
2665,Leroy,Combs,,Indiana Pacers
2666,Sidney,Lowe,,Minnesota Timberwolves
2667,Steve,Stipanovich,,Indiana Pacers
2668,Kevin,Williams,,Oklahoma City Thunder
2669,John,Garris,,Cleveland Cavaliers
2670,Stewart,Granger,,Cleveland Cavaliers
2671,Carlos,Clark,,Boston Celtics
2672,Leo,Rautins,,Philadelphia 76ers
2673,Rod,Foster,,Phoenix Suns
2674,Dane,Suttle,,Sacramento Kings
2675,Darrell,Lockhart,,San Antonio Spurs
2676,Mark,Jones,,Brooklyn Nets
2677,Larry,Micheaux,,Houston Rockets
2678,Mike,Gibson,,Detroit Pistons
2679,Ken,Austin,,Detroit Pistons
2680,Tom,Piotrowski,,Portland Trail Blazers
2681,Russell,Cross,,Golden State Warriors
2682,Wallace,Bryant,,Dallas Mavericks
2683,Bob,Miller,,San Antonio Spurs
2684,Brant,Weidner,,San Antonio Spurs
2685,Cory,Blackwell,,Oklahoma City Thunder
2686,Mel,Turpin,,Cleveland Cavaliers
2687,Chuck,Aleksinas,,Golden State Warriors
2688,Othell,Wilson,,Golden State Warriors
2689,Peter,Thibeaux,,Golden State Warriors
2690,Michael,Holton,,Portland Trail Blazers
2691,Wayne,Sappleton,,Brooklyn Nets
2692,Tom,Sewell,,Washington Wizards
2693,Kenny,Fields,,Milwaukee Bucks
2694,Devin,Durrant,,Indiana Pacers
2695,Ozell,Jones,,San Antonio Spurs
2696,Lancaster,Gordon,,LA Clippers
2697,Bernard,Thompson,,Phoenix Suns
2698,Charles,Jones,,Phoenix Suns
2699,Tom,Scheffler,,Portland Trail Blazers
2700,Willie,White,,Denver Nuggets
2701,Guy,Williams,,Washington Wizards
2702,Charlie,Sitton,,Dallas Mavericks
2703,Terence,Stansbury,,Indiana Pacers
2704,Rick,Carlisle,,Boston Celtics
2705,Dale,Wilkinson,,LA Clippers
2706,Jay,Murphy,,LA Clippers
2707,Tom,Sluby,,Dallas Mavericks
2708,Earl,Jones,,Milwaukee Bucks
